LSOA11CD,LSOA11NM,WD20CD,WD20NM,LAD20CD,LAD20NM,FID
E01001213,Ealing 023A,E05000172,Dormers Wells,E09000009,Ealing,29459
E01001459,Enfield 024A,E05000201,Haselbury,E09000010,Enfield,29460
E01001214,Ealing 023B,E05000172,Dormers Wells,E09000009,Ealing,29461
E01001460,Enfield 024B,E05000201,Haselbury,E09000010,Enfield,29462
E01001215,Ealing 023C,E05000172,Dormers Wells,E09000009,Ealing,29463
E01001461,Enfield 027D,E05000201,Haselbury,E09000010,Enfield,29464
E01001216,Ealing 023D,E05000172,Dormers Wells,E09000009,Ealing,29465
E01001462,Enfield 024C,E05000201,Haselbury,E09000010,Enfield,29466
E01001217,Ealing 014A,E05000172,Dormers Wells,E09000009,Ealing,29467
E01001463,Enfield 031A,E05000201,Haselbury,E09000010,Enfield,29468
E01001218,Ealing 012A,E05000172,Dormers Wells,E09000009,Ealing,29469
E01001464,Enfield 027E,E05000201,Haselbury,E09000010,Enfield,29470
E01001219,Ealing 029A,E05000172,Dormers Wells,E09000009,Ealing,29471
E01001465,Enfield 031B,E05000201,Haselbury,E09000010,Enfield,29472
E01001220,Ealing 029B,E05000172,Dormers Wells,E09000009,Ealing,29473
E01001466,Enfield 031C,E05000201,Haselbury,E09000010,Enfield,29474
E01001221,Ealing 020A,E05000173,Ealing Broadway,E09000009,Ealing,29475
E01001467,Enfield 031D,E05000201,Haselbury,E09000010,Enfield,29476
E01001222,Ealing 019A,E05000173,Ealing Broadway,E09000009,Ealing,29477
E01001468,Enfield 010B,E05000202,Highlands,E09000010,Enfield,29478
E01001223,Ealing 020B,E05000173,Ealing Broadway,E09000009,Ealing,29479
E01001469,Enfield 008A,E05000202,Highlands,E09000010,Enfield,29480
E01001224,Ealing 019B,E05000173,Ealing Broadway,E09000009,Ealing,29481
E01001225,Ealing 020C,E05000173,Ealing Broadway,E09000009,Ealing,29482
E01001226,Ealing 019C,E05000173,Ealing Broadway,E09000009,Ealing,29483
E01001227,Ealing 019D,E05000173,Ealing Broadway,E09000009,Ealing,29484
E01001228,Ealing 019E,E05000173,Ealing Broadway,E09000009,Ealing,29485
E01001229,Ealing 031A,E05000174,Ealing Common,E09000009,Ealing,29486
E01001230,Ealing 031B,E05000174,Ealing Common,E09000009,Ealing,29487
E01001231,Ealing 027A,E05000174,Ealing Common,E09000009,Ealing,29488
E01001232,Ealing 031C,E05000174,Ealing Common,E09000009,Ealing,29489
E01001233,Ealing 031D,E05000174,Ealing Common,E09000009,Ealing,29490
E01001234,Ealing 027B,E05000174,Ealing Common,E09000009,Ealing,29491
E01001235,Ealing 020D,E05000174,Ealing Common,E09000009,Ealing,29492
E01001236,Ealing 020E,E05000174,Ealing Common,E09000009,Ealing,29493
E01001237,Ealing 031E,E05000174,Ealing Common,E09000009,Ealing,29494
E01001238,Ealing 015B,E05000175,East Acton,E09000009,Ealing,29495
E01001239,Ealing 015C,E05000175,East Acton,E09000009,Ealing,29496
E01001470,Enfield 013B,E05000202,Highlands,E09000010,Enfield,29497
E01001471,Enfield 010C,E05000202,Highlands,E09000010,Enfield,29498
E01001472,Enfield 010D,E05000202,Highlands,E09000010,Enfield,29499
E01001473,Enfield 013C,E05000202,Highlands,E09000010,Enfield,29500
E01001474,Enfield 010E,E05000202,Highlands,E09000010,Enfield,29501
E01001475,Enfield 013D,E05000202,Highlands,E09000010,Enfield,29502
E01001476,Enfield 018A,E05000203,Jubilee,E09000010,Enfield,29503
E01001477,Enfield 018B,E05000203,Jubilee,E09000010,Enfield,29504
E01001478,Enfield 016B,E05000203,Jubilee,E09000010,Enfield,29505
E01001479,Enfield 023A,E05000203,Jubilee,E09000010,Enfield,29506
E01001480,Enfield 024D,E05000203,Jubilee,E09000010,Enfield,29507
E01001481,Enfield 018C,E05000203,Jubilee,E09000010,Enfield,29508
E01001482,Enfield 023B,E05000203,Jubilee,E09000010,Enfield,29509
E01001483,Enfield 025A,E05000203,Jubilee,E09000010,Enfield,29510
E01001484,Enfield 016C,E05000203,Jubilee,E09000010,Enfield,29511
E01001485,Enfield 025B,E05000204,Lower Edmonton,E09000010,Enfield,29512
E01001486,Enfield 025C,E05000204,Lower Edmonton,E09000010,Enfield,29513
E01001487,Enfield 023C,E05000204,Lower Edmonton,E09000010,Enfield,29514
E01001544,Enfield 009D,E05000210,Town,E09000010,Enfield,29515
E01001545,Enfield 002B,E05000211,Turkey Street,E09000010,Enfield,29516
E01001546,Enfield 001C,E05000211,Turkey Street,E09000010,Enfield,29517
E01001547,Enfield 002C,E05000211,Turkey Street,E09000010,Enfield,29518
E01001548,Enfield 002D,E05000211,Turkey Street,E09000010,Enfield,29519
E01001549,Enfield 006D,E05000211,Turkey Street,E09000010,Enfield,29520
E01001550,Enfield 006E,E05000211,Turkey Street,E09000010,Enfield,29521
E01001551,Enfield 002E,E05000211,Turkey Street,E09000010,Enfield,29522
E01001552,Enfield 001D,E05000211,Turkey Street,E09000010,Enfield,29523
E01001553,Enfield 037B,E05000212,Upper Edmonton,E09000010,Enfield,29524
E01001554,Enfield 037C,E05000212,Upper Edmonton,E09000010,Enfield,29525
E01001555,Enfield 033C,E05000212,Upper Edmonton,E09000010,Enfield,29526
E01001556,Enfield 035E,E05000212,Upper Edmonton,E09000010,Enfield,29527
E01001557,Enfield 033D,E05000212,Upper Edmonton,E09000010,Enfield,29528
E01001558,Enfield 033E,E05000212,Upper Edmonton,E09000010,Enfield,29529
E01001559,Enfield 033F,E05000212,Upper Edmonton,E09000010,Enfield,29530
E01001560,Enfield 035F,E05000212,Upper Edmonton,E09000010,Enfield,29531
E01001562,Enfield 037D,E05000212,Upper Edmonton,E09000010,Enfield,29532
E01032574,Enfield 037E,E05000212,Upper Edmonton,E09000010,Enfield,29533
E01001563,Enfield 029C,E05000213,Winchmore Hill,E09000010,Enfield,29534
E01001564,Enfield 022B,E05000213,Winchmore Hill,E09000010,Enfield,29535
E01001565,Enfield 029D,E05000213,Winchmore Hill,E09000010,Enfield,29536
E01001566,Enfield 029E,E05000213,Winchmore Hill,E09000010,Enfield,29537
E01001567,Enfield 022C,E05000213,Winchmore Hill,E09000010,Enfield,29538
E01001568,Enfield 022D,E05000213,Winchmore Hill,E09000010,Enfield,29539
E01001569,Enfield 022E,E05000213,Winchmore Hill,E09000010,Enfield,29540
E01001570,Enfield 026E,E05000213,Winchmore Hill,E09000010,Enfield,29541
E01001571,Greenwich 008A,E05000214,Abbey Wood,E09000011,Greenwich,29542
E01001572,Greenwich 008B,E05000214,Abbey Wood,E09000011,Greenwich,29543
E01001573,Greenwich 008C,E05000214,Abbey Wood,E09000011,Greenwich,29544
E01001574,Greenwich 008D,E05000214,Abbey Wood,E09000011,Greenwich,29545
E01001575,Greenwich 003A,E05000214,Abbey Wood,E09000011,Greenwich,29546
E01001576,Greenwich 003B,E05000214,Abbey Wood,E09000011,Greenwich,29547
E01001577,Greenwich 003C,E05000214,Abbey Wood,E09000011,Greenwich,29548
E01001578,Greenwich 003D,E05000214,Abbey Wood,E09000011,Greenwich,29549
E01001579,Greenwich 003E,E05000214,Abbey Wood,E09000011,Greenwich,29550
E01001580,Greenwich 021A,E05000215,Blackheath Westcombe,E09000011,Greenwich,29551
E01001581,Greenwich 016A,E05000215,Blackheath Westcombe,E09000011,Greenwich,29552
E01001582,Greenwich 021B,E05000215,Blackheath Westcombe,E09000011,Greenwich,29553
E01001583,Greenwich 021C,E05000215,Blackheath Westcombe,E09000011,Greenwich,29554
E01001584,Greenwich 021D,E05000215,Blackheath Westcombe,E09000011,Greenwich,29555
E01001585,Greenwich 016B,E05000215,Blackheath Westcombe,E09000011,Greenwich,29556
E01001586,Greenwich 016C,E05000215,Blackheath Westcombe,E09000011,Greenwich,29557
E01001247,Ealing 015E,E05000175,East Acton,E09000009,Ealing,29558
E01001248,Ealing 035A,E05000176,Elthorne,E09000009,Ealing,29559
E01001249,Ealing 028A,E05000176,Elthorne,E09000009,Ealing,29560
E01001250,Ealing 028B,E05000176,Elthorne,E09000009,Ealing,29561
E01001251,Ealing 030A,E05000176,Elthorne,E09000009,Ealing,29562
E01001252,Ealing 030B,E05000176,Elthorne,E09000009,Ealing,29563
E01001253,Ealing 030C,E05000176,Elthorne,E09000009,Ealing,29564
E01001254,Ealing 030D,E05000176,Elthorne,E09000009,Ealing,29565
E01001255,Ealing 028C,E05000176,Elthorne,E09000009,Ealing,29566
E01001257,Ealing 008A,E05000177,Greenford Broadway,E09000009,Ealing,29567
E01001258,Ealing 010B,E05000177,Greenford Broadway,E09000009,Ealing,29568
E01001259,Ealing 014B,E05000177,Greenford Broadway,E09000009,Ealing,29569
E01001260,Ealing 012B,E05000177,Greenford Broadway,E09000009,Ealing,29570
E01001261,Ealing 012C,E05000177,Greenford Broadway,E09000009,Ealing,29571
E01001262,Ealing 010C,E05000177,Greenford Broadway,E09000009,Ealing,29572
E01001263,Ealing 010D,E05000177,Greenford Broadway,E09000009,Ealing,29573
E01001264,Ealing 010E,E05000177,Greenford Broadway,E09000009,Ealing,29574
E01032743,Ealing 010F,E05000177,Greenford Broadway,E09000009,Ealing,29575
E01032744,Ealing 010G,E05000177,Greenford Broadway,E09000009,Ealing,29576
E01001265,Ealing 006A,E05000178,Greenford Green,E09000009,Ealing,29577
E01001266,Ealing 006B,E05000178,Greenford Green,E09000009,Ealing,29578
E01001267,Ealing 006C,E05000178,Greenford Green,E09000009,Ealing,29579
E01001268,Ealing 012D,E05000178,Greenford Green,E09000009,Ealing,29580
E01001269,Ealing 001A,E05000178,Greenford Green,E09000009,Ealing,29581
E01001270,Ealing 004A,E05000178,Greenford Green,E09000009,Ealing,29582
E01001271,Ealing 001B,E05000178,Greenford Green,E09000009,Ealing,29583
E01001272,Ealing 006D,E05000178,Greenford Green,E09000009,Ealing,29584
E01001273,Ealing 020F,E05000179,Hanger Hill,E09000009,Ealing,29585
E01001274,Ealing 020G,E05000179,Hanger Hill,E09000009,Ealing,29586
E01001275,Ealing 020H,E05000179,Hanger Hill,E09000009,Ealing,29587
E01001276,Ealing 011A,E05000179,Hanger Hill,E09000009,Ealing,29588
E01001277,Ealing 011B,E05000179,Hanger Hill,E09000009,Ealing,29589
E01001278,Ealing 011C,E05000179,Hanger Hill,E09000009,Ealing,29590
E01001279,Ealing 013C,E05000179,Hanger Hill,E09000009,Ealing,29591
E01001280,Ealing 011D,E05000179,Hanger Hill,E09000009,Ealing,29592
E01001281,Ealing 013D,E05000179,Hanger Hill,E09000009,Ealing,29593
E01001282,Ealing 016B,E05000180,Hobbayne,E09000009,Ealing,29594
E01001283,Ealing 016C,E05000180,Hobbayne,E09000009,Ealing,29595
E01001284,Ealing 022A,E05000180,Hobbayne,E09000009,Ealing,29596
E01001285,Ealing 016D,E05000180,Hobbayne,E09000009,Ealing,29597
E01001286,Ealing 016E,E05000180,Hobbayne,E09000009,Ealing,29598
E01001287,Ealing 016F,E05000180,Hobbayne,E09000009,Ealing,29599
E01001288,Ealing 022B,E05000180,Hobbayne,E09000009,Ealing,29600
E01001738,Hackney 012C,E05009369,Clissold,E09000012,Hackney,29601
E01001922,Hammersmith and Fulham 020C,E05000260,Parsons Green and Walham,E09000013,Hammersmith and Fulham,29602
E01001739,Hackney 012D,E05009369,Clissold,E09000012,Hackney,29603
E01001923,Hammersmith and Fulham 020D,E05000260,Parsons Green and Walham,E09000013,Hammersmith and Fulham,29604
E01001740,Hackney 014A,E05009369,Clissold,E09000012,Hackney,29605
E01001686,Greenwich 020E,E05000227,Shooters Hill,E09000011,Greenwich,29606
E01001924,Hammersmith and Fulham 020E,E05000260,Parsons Green and Walham,E09000013,Hammersmith and Fulham,29607
E01001742,Hackney 008A,E05009369,Clissold,E09000012,Hackney,29608
E01001925,Hammersmith and Fulham 025A,E05000260,Parsons Green and Walham,E09000013,Hammersmith and Fulham,29609
E01001641,Greenwich 038B,E05000222,Greenwich West,E09000011,Greenwich,29610
E01001872,Hammersmith and Fulham 012F,E05000252,Avonmore and Brook Green,E09000013,Hammersmith and Fulham,29611
E01001687,Greenwich 002A,E05000228,Thamesmead Moorings,E09000011,Greenwich,29612
E01001826,Hackney 004E,E05009383,Springfield,E09000012,Hackney,29613
E01001803,Hackney 008C,E05009369,Clissold,E09000012,Hackney,29614
E01001926,Hammersmith and Fulham 024C,E05000260,Parsons Green and Walham,E09000013,Hammersmith and Fulham,29615
E01001642,Greenwich 038C,E05000222,Greenwich West,E09000011,Greenwich,29616
E01001873,Hammersmith and Fulham 010E,E05000252,Avonmore and Brook Green,E09000013,Hammersmith and Fulham,29617
E01001688,Greenwich 002B,E05000228,Thamesmead Moorings,E09000011,Greenwich,29618
E01001806,Hackney 008D,E05009369,Clissold,E09000012,Hackney,29619
E01001827,Hackney 029D,E05009383,Springfield,E09000012,Hackney,29620
E01001927,Hammersmith and Fulham 008C,E05000261,Ravenscourt Park,E09000013,Hammersmith and Fulham,29621
E01001644,Greenwich 038D,E05000222,Greenwich West,E09000011,Greenwich,29622
E01001874,Hammersmith and Fulham 001A,E05000253,College Park and Old Oak,E09000013,Hammersmith and Fulham,29623
E01001690,Greenwich 001A,E05000228,Thamesmead Moorings,E09000011,Greenwich,29624
E01001744,Hackney 021B,E05009370,Dalston,E09000012,Hackney,29625
E01001828,Hackney 028B,E05009383,Springfield,E09000012,Hackney,29626
E01001928,Hammersmith and Fulham 011A,E05000261,Ravenscourt Park,E09000013,Hammersmith and Fulham,29627
E01033727,Greenwich 035B,E05000222,Greenwich West,E09000011,Greenwich,29628
E01001875,Hammersmith and Fulham 001B,E05000253,College Park and Old Oak,E09000013,Hammersmith and Fulham,29629
E01001692,Greenwich 001B,E05000228,Thamesmead Moorings,E09000011,Greenwich,29630
E01001748,Hackney 020A,E05009370,Dalston,E09000012,Hackney,29631
E01001799,Hackney 003A,E05009384,Stamford Hill West,E09000012,Hackney,29632
E01033728,Greenwich 035C,E05000222,Greenwich West,E09000011,Greenwich,29633
E01001929,Hammersmith and Fulham 009D,E05000261,Ravenscourt Park,E09000013,Hammersmith and Fulham,29634
E01033730,Greenwich 035D,E05000222,Greenwich West,E09000011,Greenwich,29635
E01001876,Hammersmith and Fulham 001C,E05000253,College Park and Old Oak,E09000013,Hammersmith and Fulham,29636
E01001693,Greenwich 001C,E05000228,Thamesmead Moorings,E09000011,Greenwich,29637
E01001749,Hackney 020B,E05009370,Dalston,E09000012,Hackney,29638
E01001800,Hackney 004C,E05009384,Stamford Hill West,E09000012,Hackney,29639
E01033699,Hackney 021G,E05009370,Dalston,E09000012,Hackney,29640
E01001930,Hammersmith and Fulham 008D,E05000261,Ravenscourt Park,E09000013,Hammersmith and Fulham,29641
E01033746,Greenwich 038E,E05000222,Greenwich West,E09000011,Greenwich,29642
E01001877,Hammersmith and Fulham 001D,E05000253,College Park and Old Oak,E09000013,Hammersmith and Fulham,29643
E01001801,Hackney 008B,E05009384,Stamford Hill West,E09000012,Hackney,29644
E01001694,Greenwich 001D,E05000228,Thamesmead Moorings,E09000011,Greenwich,29645
E01033700,Hackney 021H,E05009370,Dalston,E09000012,Hackney,29646
E01001931,Hammersmith and Fulham 011B,E05000261,Ravenscourt Park,E09000013,Hammersmith and Fulham,29647
E01001645,Greenwich 022A,E05000223,Kidbrooke with Hornfair,E09000011,Greenwich,29648
E01001878,Hammersmith and Fulham 001E,E05000253,College Park and Old Oak,E09000013,Hammersmith and Fulham,29649
E01001802,Hackney 003B,E05009384,Stamford Hill West,E09000012,Hackney,29650
E01033739,Greenwich 002E,E05000228,Thamesmead Moorings,E09000011,Greenwich,29651
E01001750,Hackney 021C,E05009371,De Beauvoir,E09000012,Hackney,29652
E01001932,Hammersmith and Fulham 011C,E05000261,Ravenscourt Park,E09000013,Hammersmith and Fulham,29653
E01001646,Greenwich 019A,E05000223,Kidbrooke with Hornfair,E09000011,Greenwich,29654
E01001879,Hammersmith and Fulham 019A,E05000254,Fulham Broadway,E09000013,Hammersmith and Fulham,29655
E01001804,Hackney 003C,E05009384,Stamford Hill West,E09000012,Hackney,29656
E01033740,Greenwich 002F,E05000228,Thamesmead Moorings,E09000011,Greenwich,29657
E01001751,Hackney 021D,E05009371,De Beauvoir,E09000012,Hackney,29658
E01001933,Hammersmith and Fulham 011D,E05000261,Ravenscourt Park,E09000013,Hammersmith and Fulham,29659
E01001647,Greenwich 022B,E05000223,Kidbrooke with Hornfair,E09000011,Greenwich,29660
E01001880,Hammersmith and Fulham 017A,E05000254,Fulham Broadway,E09000013,Hammersmith and Fulham,29661
E01001741,Hackney 009A,E05009385,Stoke Newington,E09000012,Hackney,29662
E01033741,Greenwich 002G,E05000228,Thamesmead Moorings,E09000011,Greenwich,29663
E01001752,Hackney 025A,E05009371,De Beauvoir,E09000012,Hackney,29664
E01001934,Hammersmith and Fulham 025B,E05000262,Sands End,E09000013,Hammersmith and Fulham,29665
E01001648,Greenwich 022C,E05000223,Kidbrooke with Hornfair,E09000011,Greenwich,29666
E01001881,Hammersmith and Fulham 017B,E05000254,Fulham Broadway,E09000013,Hammersmith and Fulham,29667
E01001805,Hackney 009B,E05009385,Stoke Newington,E09000012,Hackney,29668
E01033743,Greenwich 002H,E05000228,Thamesmead Moorings,E09000011,Greenwich,29669
E01001753,Hackney 025B,E05009371,De Beauvoir,E09000012,Hackney,29670
E01001935,Hammersmith and Fulham 023A,E05000262,Sands End,E09000013,Hammersmith and Fulham,29671
E01001649,Greenwich 022D,E05000223,Kidbrooke with Hornfair,E09000011,Greenwich,29672
E01001882,Hammersmith and Fulham 017C,E05000254,Fulham Broadway,E09000013,Hammersmith and Fulham,29673
E01001829,Hackney 009C,E05009385,Stoke Newington,E09000012,Hackney,29674
E01033745,Greenwich 002I,E05000228,Thamesmead Moorings,E09000011,Greenwich,29675
E01001735,Hackney 019D,E05009376,Homerton,E09000012,Hackney,29676
E01001695,Greenwich 011A,E05000229,Woolwich Common,E09000011,Greenwich,29677
E01001696,Greenwich 011B,E05000229,Woolwich Common,E09000011,Greenwich,29678
E01001697,Greenwich 011C,E05000229,Woolwich Common,E09000011,Greenwich,29679
E01001698,Greenwich 015A,E05000229,Woolwich Common,E09000011,Greenwich,29680
E01001699,Greenwich 015B,E05000229,Woolwich Common,E09000011,Greenwich,29681
E01001700,Greenwich 011D,E05000229,Woolwich Common,E09000011,Greenwich,29682
E01001701,Greenwich 015C,E05000229,Woolwich Common,E09000011,Greenwich,29683
E01001702,Greenwich 015D,E05000229,Woolwich Common,E09000011,Greenwich,29684
E01001703,Greenwich 011E,E05000229,Woolwich Common,E09000011,Greenwich,29685
E01001704,Greenwich 011F,E05000229,Woolwich Common,E09000011,Greenwich,29686
E01001705,Greenwich 005A,E05000230,Woolwich Riverside,E09000011,Greenwich,29687
E01001706,Greenwich 005B,E05000230,Woolwich Riverside,E09000011,Greenwich,29688
E01001587,Greenwich 016D,E05000215,Blackheath Westcombe,E09000011,Greenwich,29689
E01001708,Greenwich 005C,E05000230,Woolwich Riverside,E09000011,Greenwich,29690
E01001709,Greenwich 004B,E05000230,Woolwich Riverside,E09000011,Greenwich,29691
E01001710,Greenwich 005D,E05000230,Woolwich Riverside,E09000011,Greenwich,29692
E01001711,Greenwich 004C,E05000230,Woolwich Riverside,E09000011,Greenwich,29693
E01001712,Greenwich 004D,E05000230,Woolwich Riverside,E09000011,Greenwich,29694
E01001713,Greenwich 005E,E05000230,Woolwich Riverside,E09000011,Greenwich,29695
E01033731,Greenwich 004E,E05000230,Woolwich Riverside,E09000011,Greenwich,29696
E01033734,Greenwich 004F,E05000230,Woolwich Riverside,E09000011,Greenwich,29697
E01033735,Greenwich 004G,E05000230,Woolwich Riverside,E09000011,Greenwich,29698
E01033736,Greenwich 004H,E05000230,Woolwich Riverside,E09000011,Greenwich,29699
E01033737,Greenwich 004I,E05000230,Woolwich Riverside,E09000011,Greenwich,29700
E01001715,Hackney 007A,E05009367,Brownswood,E09000012,Hackney,29701
E01001716,Hackney 007B,E05009367,Brownswood,E09000012,Hackney,29702
E01001717,Hackney 007C,E05009367,Brownswood,E09000012,Hackney,29703
E01001718,Hackney 007D,E05009367,Brownswood,E09000012,Hackney,29704
E01001719,Hackney 007E,E05009367,Brownswood,E09000012,Hackney,29705
E01001720,Hackney 007F,E05009367,Brownswood,E09000012,Hackney,29706
E01001722,Hackney 029A,E05009368,Cazenove,E09000012,Hackney,29707
E01001723,Hackney 006A,E05009368,Cazenove,E09000012,Hackney,29708
E01001724,Hackney 006B,E05009368,Cazenove,E09000012,Hackney,29709
E01001725,Hackney 004A,E05009368,Cazenove,E09000012,Hackney,29710
E01001726,Hackney 004B,E05009368,Cazenove,E09000012,Hackney,29711
E01001727,Hackney 006C,E05009368,Cazenove,E09000012,Hackney,29712
E01001728,Hackney 029B,E05009368,Cazenove,E09000012,Hackney,29713
E01001736,Hackney 012A,E05009369,Clissold,E09000012,Hackney,29714
E01001737,Hackney 012B,E05009369,Clissold,E09000012,Hackney,29715
E01001937,Hammersmith and Fulham 025C,E05000262,Sands End,E09000013,Hammersmith and Fulham,29716
E01001650,Greenwich 019B,E05000223,Kidbrooke with Hornfair,E09000011,Greenwich,29717
E01001756,Hackney 021E,E05009371,De Beauvoir,E09000012,Hackney,29718
E01001938,Hammersmith and Fulham 025D,E05000262,Sands End,E09000013,Hammersmith and Fulham,29719
E01001883,Hammersmith and Fulham 017D,E05000254,Fulham Broadway,E09000013,Hammersmith and Fulham,29720
E01001651,Greenwich 019C,E05000223,Kidbrooke with Hornfair,E09000011,Greenwich,29721
E01001757,Hackney 016C,E05009372,Hackney Central,E09000012,Hackney,29722
E01001939,Hammersmith and Fulham 023C,E05000262,Sands End,E09000013,Hammersmith and Fulham,29723
E01032788,Hammersmith and Fulham 023D,E05000262,Sands End,E09000013,Hammersmith and Fulham,29724
E01032789,Hammersmith and Fulham 023E,E05000262,Sands End,E09000013,Hammersmith and Fulham,29725
E01032790,Hammersmith and Fulham 023F,E05000262,Sands End,E09000013,Hammersmith and Fulham,29726
E01001940,Hammersmith and Fulham 005B,E05000263,Shepherd's Bush Green,E09000013,Hammersmith and Fulham,29727
E01001941,Hammersmith and Fulham 005C,E05000263,Shepherd's Bush Green,E09000013,Hammersmith and Fulham,29728
E01001942,Hammersmith and Fulham 005D,E05000263,Shepherd's Bush Green,E09000013,Hammersmith and Fulham,29729
E01001943,Hammersmith and Fulham 004A,E05000263,Shepherd's Bush Green,E09000013,Hammersmith and Fulham,29730
E01001944,Hammersmith and Fulham 004B,E05000263,Shepherd's Bush Green,E09000013,Hammersmith and Fulham,29731
E01001945,Hammersmith and Fulham 004C,E05000263,Shepherd's Bush Green,E09000013,Hammersmith and Fulham,29732
E01001946,Hammersmith and Fulham 004D,E05000263,Shepherd's Bush Green,E09000013,Hammersmith and Fulham,29733
E01001947,Hammersmith and Fulham 021A,E05000264,Town,E09000013,Hammersmith and Fulham,29734
E01001948,Hammersmith and Fulham 021B,E05000264,Town,E09000013,Hammersmith and Fulham,29735
E01001949,Hammersmith and Fulham 021C,E05000264,Town,E09000013,Hammersmith and Fulham,29736
E01001950,Hammersmith and Fulham 021D,E05000264,Town,E09000013,Hammersmith and Fulham,29737
E01001951,Hammersmith and Fulham 021E,E05000264,Town,E09000013,Hammersmith and Fulham,29738
E01001952,Hammersmith and Fulham 024D,E05000264,Town,E09000013,Hammersmith and Fulham,29739
E01001953,Hammersmith and Fulham 021F,E05000264,Town,E09000013,Hammersmith and Fulham,29740
E01001954,Hammersmith and Fulham 003A,E05000265,Wormholt and White City,E09000013,Hammersmith and Fulham,29741
E01001955,Hammersmith and Fulham 002A,E05000265,Wormholt and White City,E09000013,Hammersmith and Fulham,29742
E01001956,Hammersmith and Fulham 003B,E05000265,Wormholt and White City,E09000013,Hammersmith and Fulham,29743
E01001957,Hammersmith and Fulham 002B,E05000265,Wormholt and White City,E09000013,Hammersmith and Fulham,29744
E01001958,Hammersmith and Fulham 002C,E05000265,Wormholt and White City,E09000013,Hammersmith and Fulham,29745
E01001959,Hammersmith and Fulham 003C,E05000265,Wormholt and White City,E09000013,Hammersmith and Fulham,29746
E01001960,Hammersmith and Fulham 003D,E05000265,Wormholt and White City,E09000013,Hammersmith and Fulham,29747
E01001961,Hammersmith and Fulham 002D,E05000265,Wormholt and White City,E09000013,Hammersmith and Fulham,29748
E01001962,Haringey 004A,E05000266,Alexandra,E09000014,Haringey,29749
E01001963,Haringey 009A,E05000266,Alexandra,E09000014,Haringey,29750
E01001964,Haringey 009B,E05000266,Alexandra,E09000014,Haringey,29751
E01001965,Haringey 009C,E05000266,Alexandra,E09000014,Haringey,29752
E01001966,Haringey 009D,E05000266,Alexandra,E09000014,Haringey,29753
E01001967,Haringey 014A,E05000266,Alexandra,E09000014,Haringey,29754
E01001968,Haringey 014B,E05000266,Alexandra,E09000014,Haringey,29755
E01001969,Haringey 001A,E05000267,Bounds Green,E09000014,Haringey,29756
E01001830,Hackney 014C,E05009385,Stoke Newington,E09000012,Hackney,29757
E01001588,Greenwich 012A,E05000216,Charlton,E09000011,Greenwich,29758
E01001754,Hackney 025C,E05009377,Hoxton East & Shoreditch,E09000012,Hackney,29759
E01001884,Hammersmith and Fulham 017E,E05000254,Fulham Broadway,E09000013,Hammersmith and Fulham,29760
E01001885,Hammersmith and Fulham 015A,E05000254,Fulham Broadway,E09000013,Hammersmith and Fulham,29761
E01001652,Greenwich 019D,E05000223,Kidbrooke with Hornfair,E09000011,Greenwich,29762
E01001758,Hackney 016D,E05009372,Hackney Central,E09000012,Hackney,29763
E01001886,Hammersmith and Fulham 016A,E05000255,Fulham Reach,E09000013,Hammersmith and Fulham,29764
E01001759,Hackney 016E,E05009372,Hackney Central,E09000012,Hackney,29765
E01001831,Hackney 009D,E05009385,Stoke Newington,E09000012,Hackney,29766
E01001653,Greenwich 029A,E05000224,Middle Park and Sutcliffe,E09000011,Greenwich,29767
E01001832,Hackney 009E,E05009385,Stoke Newington,E09000012,Hackney,29768
E01001887,Hammersmith and Fulham 016B,E05000255,Fulham Reach,E09000013,Hammersmith and Fulham,29769
E01001654,Greenwich 029B,E05000224,Middle Park and Sutcliffe,E09000011,Greenwich,29770
E01001760,Hackney 017C,E05009372,Hackney Central,E09000012,Hackney,29771
E01001833,Hackney 014D,E05009385,Stoke Newington,E09000012,Hackney,29772
E01001888,Hammersmith and Fulham 018A,E05000255,Fulham Reach,E09000013,Hammersmith and Fulham,29773
E01001655,Greenwich 029C,E05000224,Middle Park and Sutcliffe,E09000011,Greenwich,29774
E01001761,Hackney 016F,E05009372,Hackney Central,E09000012,Hackney,29775
E01001836,Hackney 022A,E05009386,Victoria,E09000012,Hackney,29776
E01001889,Hammersmith and Fulham 014A,E05000255,Fulham Reach,E09000013,Hammersmith and Fulham,29777
E01001656,Greenwich 034A,E05000224,Middle Park and Sutcliffe,E09000011,Greenwich,29778
E01001762,Hackney 017D,E05009372,Hackney Central,E09000012,Hackney,29779
E01001837,Hackney 023B,E05009386,Victoria,E09000012,Hackney,29780
E01001890,Hammersmith and Fulham 016C,E05000255,Fulham Reach,E09000013,Hammersmith and Fulham,29781
E01001657,Greenwich 034B,E05000224,Middle Park and Sutcliffe,E09000011,Greenwich,29782
E01001763,Hackney 020C,E05009372,Hackney Central,E09000012,Hackney,29783
E01001838,Hackney 019E,E05009386,Victoria,E09000012,Hackney,29784
E01001891,Hammersmith and Fulham 018B,E05000255,Fulham Reach,E09000013,Hammersmith and Fulham,29785
E01001658,Greenwich 034C,E05000224,Middle Park and Sutcliffe,E09000011,Greenwich,29786
E01001659,Greenwich 034D,E05000224,Middle Park and Sutcliffe,E09000011,Greenwich,29787
E01001660,Greenwich 029D,E05000224,Middle Park and Sutcliffe,E09000011,Greenwich,29788
