Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context,geometry,residential
0b4e079de0c63eec37f3488548f815e88b271e00d756b995ec4c81d42846826e,2025-02,Metropolitan Police Service,Metropolitan Police Service,0.148145,51.561797,On or near The Broadway,E01000114,Barking and Dagenham 004E,Burglary,Under investigation,,POINT (0.148145 51.561797),False
01f265d3c6be97634aec2bd345f7a71d36d5a46b2b4d00f60872bdf25b49f55d,2025-02,Metropolitan Police Service,Metropolitan Police Service,0.141668,51.554451,On or near Supermarket,E01000082,Barking and Dagenham 007E,Burglary,Under investigation,,POINT (0.141668 51.554451),False
669a383e6e9b9a7f2993d7c7c21c4bec54b054243e00f2cf40d505614ae4957b,2025-02,Metropolitan Police Service,Metropolitan Police Service,0.148737,51.54085,On or near Shopping Area,E01000105,Barking and Dagenham 014C,Burglary,Under investigation,,POINT (0.148737 51.54085),False
9c80cfc0d5a57280ab0f057bffd4abc99285974c20bb95dbcbc6b22931ffd3ba,2025-02,Metropolitan Police Service,Metropolitan Police Service,0.148737,51.54085,On or near Shopping Area,E01000105,Barking and Dagenham 014C,Burglary,Under investigation,,POINT (0.148737 51.54085),False
f7341810e5f2fef0006d8a56bb1b2177de454fbc029b21a749e3692ecdfe6c8a,2025-02,Metropolitan Police Service,Metropolitan Police Service,0.081365,51.537947,On or near Parking Area,E01034473,Barking and Dagenham 015E,Burglary,Under investigation,,POINT (0.081365 51.537947),False
d81db832f0a0d2b5479202021d1a16dbbebd5d6a5c5d5019aeeb49e9cf58490f,2025-02,Metropolitan Police Service,Metropolitan Police Service,0.080981,51.538044,On or near Shopping Area,E01034473,Barking and Dagenham 015E,Burglary,Under investigation,,POINT (0.080981 51.538044),False
944b04479ccc423892c71f65c2b80f796c0c2a38311c7e01b7767dbb1b50afc9,2025-02,Metropolitan Police Service,Metropolitan Police Service,0.081809,51.538182,On or near Shopping Area,E01034473,Barking and Dagenham 015E,Burglary,Under investigation,,POINT (0.081809 51.538182),False
bdd48d150f7b6a41f84eec65e4a443d6b372651255f4faa162e38699bbe85255,2025-02,Metropolitan Police Service,Metropolitan Police Service,0.084276,51.543394,On or near Parking Area,E01000068,Barking and Dagenham 016E,Burglary,Investigation complete; no suspect identified,,POINT (0.084276 51.543394),False
beabacf1259f96ccc662ffd758bcb53a886754413e4c6813c89b1d31b249879a,2025-02,Metropolitan Police Service,Metropolitan Police Service,0.158924,51.523443,On or near Lake Road,E01000090,Barking and Dagenham 020E,Burglary,Investigation complete; no suspect identified,,POINT (0.158924 51.523443),False
240bf6dcaeaaf267a35f27400870c4e49091f2ba17ae8a40b2f982acfae8e2bd,2025-02,Metropolitan Police Service,Metropolitan Police Service,0.116756,51.53056,On or near Steel Approach,E01000096,Barking and Dagenham 022D,Burglary,Investigation complete; no suspect identified,,POINT (0.116756 51.53056),False
a6befe3e8392c1064735ebf842a3da4eba7e14cfa0dcf5ddd48153098a2d65d6,2025-02,Metropolitan Police Service,Metropolitan Police Service,-0.201625,51.65423,On or near Union Street,E01000250,Barnet 001C,Burglary,Under investigation,,POINT (-0.201625 51.65423),False
9ffc26baa7bc8352954afacb571e6f5814ff9c7606c5a2d8ba661e62df879b1d,2025-02,Metropolitan Police Service,Metropolitan Police Service,-0.154965,51.649811,On or near Mount Pleasant,E01000168,Barnet 003B,Burglary,Under investigation,,POINT (-0.154965 51.649811),False
c978275c02c2bd31c1ff1bb6caba29988fd603c2a63597f7d0a74a040fc9ac56,2025-02,Metropolitan Police Service,Metropolitan Police Service,-0.151565,51.645252,On or near Freston Gardens,E01000172,Barnet 003D,Burglary,Investigation complete; no suspect identified,,POINT (-0.151565 51.645252),False
1556b06f580516ed7c9a5f4edf424c2ecce5c18b5c875a74d6b2e0246ea1e7a0,2025-02,Metropolitan Police Service,Metropolitan Police Service,-0.170196,51.649563,On or near Petrol Station,E01000171,Barnet 006B,Burglary,Investigation complete; no suspect identified,,POINT (-0.170196 51.649563),False
8367386c08d0b25db5ff0166e9a1bee1d1acb25de014cfd55f2d200c0fe28513,2025-02,Metropolitan Police Service,Metropolitan Police Service,-0.143456,51.63677,On or near Oak Way,E01000115,Barnet 009A,Burglary,Investigation complete; no suspect identified,,POINT (-0.143456 51.63677),False
